original_link_id,bus_priority_link_id,original_modes,bus_priority_modes,original_capacity,bus_priority_capacity,original_permlanes,bus_priority_permlanes
l_10324_0_f,busprio_l_10324_0_f,"car,pt",pt,3000.0,3600.0,2.0,2.0
l_10324_0_r,busprio_l_10324_0_r,"car,pt",pt,4500.0,4500.0,3.0,3.0
l_10324_1_f,busprio_l_10324_1_f,"car,pt",pt,3000.0,3600.0,2.0,2.0
l_10324_1_r,busprio_l_10324_1_r,"car,pt",pt,4500.0,4500.0,3.0,3.0
l_10324_2_f,busprio_l_10324_2_f,"car,pt",pt,3000.0,3600.0,2.0,2.0
l_10324_2_r,busprio_l_10324_2_r,"car,pt",pt,4500.0,4500.0,3.0,3.0
l_10325_0_f,busprio_l_10325_0_f,"car,pt",pt,4500.0,4500.0,3.0,3.0
l_10325_0_r,busprio_l_10325_0_r,"car,pt",pt,3000.0,3600.0,2.0,2.0
l_10325_1_f,busprio_l_10325_1_f,"car,pt",pt,4500.0,4500.0,3.0,3.0
l_10325_1_r,busprio_l_10325_1_r,"car,pt",pt,3000.0,3600.0,2.0,2.0
