"person_id","pt_no_transit_route_lines","pt_no_stop_lines"
"hk_collective_001270","1","1"
"hk_collective_001271","1","1"
"hk_collective_001272","1","1"
"hk_collective_001274","1","1"
"hk_collective_001275","1","1"
"hk_collective_001276","1","1"
"hk_collective_001278","1","1"
"hk_collective_001279","1","1"
"hk_collective_001280","1","1"
"hk_collective_001282","1","1"
"hk_collective_001283","1","1"
"hk_collective_001284","1","1"
"hk_collective_001287","1","1"
"hk_collective_001289","1","1"
"hk_collective_001291","1","1"
"hk_collective_001293","1","1"
"hk_collective_001295","1","1"
"hk_collective_001297","1","1"
"hk_collective_001300","1","1"
"hk_collective_001301","1","1"
"hk_collective_001302","1","1"
"hk_collective_001303","1","1"
"hk_collective_001304","1","1"
"hk_collective_001305","1","1"
"hk_collective_001306","1","1"
"hk_collective_001307","1","1"
"hk_collective_001308","1","1"
"hk_collective_001309","1","1"
"hk_collective_001311","1","1"
"hk_collective_001312","1","1"
"hk_collective_001317","1","1"
"hk_collective_001318","1","1"
"hk_collective_001319","1","1"
"hk_collective_001320","1","1"
"hk_collective_001321","1","1"
"hk_collective_001322","1","1"
"hk_collective_001323","1","1"
"hk_collective_001324","1","1"
"hk_collective_001325","1","1"
"hk_collective_001327","1","1"
"hk_collective_001328","1","1"
"hk_collective_001329","1","1"
"hk_collective_001330","1","1"
"hk_collective_001334","1","1"
"hk_collective_001335","1","1"
"hk_collective_001336","1","1"
"hk_collective_001338","1","1"
"hk_collective_001339","1","1"
"hk_collective_001340","1","1"
"hk_collective_001341","1","1"
"hk_collective_001342","1","1"
"hk_collective_001344","1","1"
"hk_collective_001345","1","1"
"hk_collective_001346","1","1"
"hk_collective_001347","1","1"
"hk_collective_001349","1","1"
"hk_collective_001350","1","1"
"hk_collective_001352","1","1"
"hk_collective_001353","1","1"
"hk_collective_001355","1","1"
"hk_collective_001356","1","1"
"hk_collective_001357","1","1"
"hk_collective_001359","1","1"
"hk_collective_001360","1","1"
"hk_collective_001361","1","1"
"hk_collective_001364","1","1"
"hk_collective_001365","1","1"
"hk_collective_001367","1","1"
"hk_collective_001368","1","1"
"hk_collective_001369","1","1"
"hk_collective_001370","1","1"
"hk_collective_001371","1","1"
"hk_collective_001372","1","1"
"hk_collective_001374","1","1"
"hk_collective_001375","1","1"
"hk_collective_001377","1","1"
"hk_collective_001378","1","1"
"hk_collective_001379","1","1"
"hk_collective_001380","1","1"
"hk_collective_001381","1","1"
"hk_collective_001382","1","1"
"hk_collective_001384","1","1"
"hk_collective_001385","1","1"
"hk_collective_001386","1","1"
"hk_collective_001387","1","1"
"hk_collective_001389","1","1"
"hk_collective_001391","1","1"
"hk_collective_001395","1","1"
"hk_collective_001397","1","1"
"hk_collective_001402","1","1"
"hk_collective_001403","1","1"
