"person_id","taxi_ordinal","hk_taxi_main_trip_index","plan_element_index","expected_departure_time_seconds","preceding_leg_modes","fare_hkd","taxi_type","classification_source","attribution_category","invalid_pt_before_element_indexes","removed_pt_before_element_indexes","stuck_before","last_observed_event_type","last_observed_event_time"
"hk_person_04596479","1","3","7","70972.0","pt|pt|taxi","290.1","urban_taxi","resident_discretionary_ride_assignment","invalid_pt_before_taxi_agent_removed","1|3","1","","departure","34209.0"
"hk_person_04596479","2","4","9","82372.0","pt|pt|taxi|taxi","304.1","urban_taxi","resident_discretionary_ride_assignment","invalid_pt_before_taxi_agent_removed","1|3","1","","departure","34209.0"
"hk_person_00193106","0","2","5","61200.0","pt|pt","33.2","urban_taxi","resident_discretionary_ride_assignment","invalid_pt_before_taxi_agent_removed","1|3","1","","departure","30450.0"
"hk_person_00193106","1","3","7","68100.0","pt|pt|taxi","94.1","urban_taxi","resident_discretionary_ride_assignment","invalid_pt_before_taxi_agent_removed","1|3","1","","departure","30450.0"
"hk_person_00193106","2","4","9","75000.0","pt|pt|taxi|taxi","68.9","urban_taxi","resident_discretionary_ride_assignment","invalid_pt_before_taxi_agent_removed","1|3","1","","departure","30450.0"
"hk_person_02276840","0","2","5","69530.0","pt|pt","106.7","urban_taxi","resident_discretionary_ride_assignment","invalid_pt_before_taxi_agent_removed","1|3","1","","departure","29182.0"
"hk_person_02276840","1","3","7","76130.0","pt|pt|taxi","66.8","urban_taxi","resident_discretionary_ride_assignment","invalid_pt_before_taxi_agent_removed","1|3","1","","departure","29182.0"
"hk_person_00944819","0","2","5","64743.0","pt|pt","85.7","urban_taxi","resident_discretionary_ride_assignment","invalid_pt_before_taxi_agent_removed","1|3","1","","departure","21992.0"
"hk_person_00944819","1","3","7","76143.0","pt|pt|taxi","96.2","urban_taxi","resident_discretionary_ride_assignment","invalid_pt_before_taxi_agent_removed","1|3","1","","departure","21992.0"
"hk_person_00944819","2","4","9","82743.0","pt|pt|taxi|taxi","141.7","urban_taxi","resident_discretionary_ride_assignment","invalid_pt_before_taxi_agent_removed","1|3","1","","departure","21992.0"
"hk_person_04728745","0","2","5","79200.0","pt|pt","25.5","new_territories_taxi","resident_discretionary_ride_assignment","invalid_pt_before_taxi_agent_removed","1|3","1","","departure","32896.0"
"hk_person_04728745","1","3","7","86100.0","pt|pt|taxi","25.5","new_territories_taxi","resident_discretionary_ride_assignment","invalid_pt_before_taxi_agent_removed","1|3","1","","departure","32896.0"
"hk_person_05874374","0","2","5","66273.0","pt|pt","25.5","new_territories_taxi","resident_discretionary_ride_assignment","invalid_pt_before_taxi_agent_removed","1|3","1","","departure","30449.0"
