line_id,route_id,stop_count,route_link_count,route_length_m,service_length_m,old_terminal_offset_s,new_terminal_offset_s,old_commercial_speed_kmh,new_commercial_speed_kmh,offsets_strictly_increasing,index_warning_count
bus_line_900000099354,bus_route_900000099354,30,226,35119.258,35119.258,5479.0,5478.911,23.075,23.076,true,0
bus_line_900000099355,bus_route_900000099355,30,225,34856.261,34856.261,5335.0,5334.901,23.521,23.521,true,0
bus_line_900000100320,bus_route_900000100320,3,48,11152.593,11152.593,1479.0,1478.812,27.146,27.15,true,0
bus_line_900000100321,bus_route_900000100321,3,51,10362.507,10362.507,1346.0,1346.191,27.715,27.712,true,0
bus_line_900000103910,bus_route_900000103910,14,84,11584.911,11584.911,1965.0,1965.231,21.224,21.222,true,0
bus_line_900000103911,bus_route_900000103911,17,158,19150.633,19150.633,3173.0,3172.66,21.728,21.73,true,0
bus_line_900000104187,bus_route_900000104187,5,82,11548.17,11548.17,1625.0,1624.583,25.584,25.59,true,0
bus_line_900000104375,bus_route_900000104375,10,144,20956.724,20956.724,2985.0,2985.178,25.274,25.273,true,0
bus_line_900000106362,bus_route_900000106362,18,103,17813.462,17813.462,3004.0,3004.168,21.348,21.346,true,0
bus_line_900000106363,bus_route_900000106363,16,149,20072.236,20072.236,3158.0,3157.943,22.882,22.882,true,0
bus_line_900000107418,bus_route_900000107418,20,310,40843.393,40843.393,6086.0,6085.692,24.16,24.161,true,0
bus_line_900000107419,bus_route_900000107419,19,181,20956.366,20956.366,3426.0,3425.661,22.021,22.023,true,0
bus_line_900000112774,bus_route_900000112774,2,210,10754.265,10754.265,1612.0,1611.914,24.017,24.018,true,0
bus_line_900000112868,bus_route_900000112868,15,262,33573.567,33573.567,4999.0,4998.629,24.178,24.18,true,0
bus_line_900000114300,bus_route_900000114300,16,133,18397.182,18397.182,2677.0,2677.329,24.74,24.737,true,0
bus_line_900000114301,bus_route_900000114301,16,201,25659.486,25659.486,3651.0,3651.464,25.301,25.298,true,0
bus_line_900000118761,bus_route_900000118761,16,97,8185.687,8185.687,1504.0,1503.728,19.593,19.597,true,0
bus_line_900000118762,bus_route_900000118762,15,257,29036.934,29036.934,4584.0,4584.415,22.804,22.802,true,0
bus_line_900000118768,bus_route_900000118768,14,87,8427.05,8427.05,1520.0,1520.192,19.959,19.956,true,0
bus_line_900000118769,bus_route_900000118769,15,245,27080.606,27080.606,4398.0,4398.119,22.167,22.166,true,0
bus_line_900000121692,bus_route_900000121692,11,109,11285.985,11285.985,1738.0,1738.339,23.377,23.373,true,0
bus_line_900000122166,bus_route_900000122166,11,66,8699.416,8699.416,1395.0,1395.397,22.45,22.444,true,0
bus_line_900000122233,bus_route_900000122233,16,116,18585.706,18585.706,3008.0,3008.389,22.244,22.241,true,0
bus_line_900000122234,bus_route_900000122234,15,122,18962.792,18962.792,2894.0,2893.761,23.589,23.591,true,0
bus_line_900000125029,bus_route_900000125029,31,503,73131.783,73131.783,11164.0,11164.162,23.582,23.582,true,0
bus_line_900000125030,bus_route_900000125030,28,316,50718.611,50718.611,7973.0,7972.584,22.901,22.902,true,0
bus_line_900000125548,bus_route_900000125548,9,263,48803.724,48803.724,6969.0,6968.974,25.211,25.211,true,0
bus_line_900000125708,bus_route_900000125708,26,139,20237.284,20237.284,3206.0,3206.285,22.724,22.722,true,0
bus_line_900000125709,bus_route_900000125709,27,147,22239.859,22239.859,3506.0,3506.136,22.836,22.835,true,0
bus_line_900000126889,bus_route_900000126889,7,820,133050.333,133050.333,17410.0,17410.18,27.512,27.512,true,0
bus_line_900000127824,bus_route_900000127824,8,33,6417.549,6417.549,1055.0,1055.334,21.899,21.892,true,0
bus_line_900000128846,bus_route_900000128846,18,93,11378.119,11378.119,2036.0,2035.707,20.118,20.121,true,0
bus_line_900000128847,bus_route_900000128847,13,142,16226.999,16226.999,2525.0,2525.075,23.136,23.135,true,0
bus_line_900000133373,bus_route_900000133373,35,236,31004.161,31004.161,5044.0,5044.21,22.128,22.127,true,0
