poi_id,name,normalized_name,type,typecode,address,pname,cityname,adname,lon_gcj02,lat_gcj02,lon_wgs84,lat_wgs84,x_epsg32650,y_epsg32650,inside_boundary,inside_boundary_500m_buffer,source_tile_ids,source_pages,duplicate_count,stop_cluster_id,saturation_warning,inside_boundary_2km_buffer,distance_to_boundary_m
BV10209204,科技园工委会(公交站),科技园工委会,交通设施服务;公交车站;公交车站相关,150700,77路,福建省,福州市,仓山区,119.344633,26.026598,119.3397482,26.0295804,734138.1663,2881058.385,TRUE,TRUE,L0_008_002,2,1,科技园工委会_00925,FALSE,TRUE,1728.259984
BV10209207,福田公司(公交站),福田公司,交通设施服务;公交车站;公交车站相关,150700,26路,福建省,福州市,仓山区,119.345899,26.029233,119.3410118,26.03221492,734259.4149,2881352.562,TRUE,TRUE,L0_008_002,2,1,福田公司_00926,FALSE,TRUE,1603.584729
BV10209209,宏捷物流(公交站),宏捷物流,交通设施服务;公交车站;公交车站相关,150700,178路;197路;地铁接驳31号专线,福建省,福州市,晋安区,119.364081,26.075711,119.3591616,26.07869474,735983.056,2886535.371,TRUE,TRUE,L0_009_004,1,1,宏捷物流_00927,FALSE,TRUE,1084.789785
BV10209214,永南中学(公交站),永南中学,交通设施服务;公交车站;公交车站相关,150700,M2路,福建省,福州市,仓山区,119.3987,25.991919,119.3937638,25.99481733,739616.0353,2877304.581,TRUE,TRUE,L0_010_001,1,1,永南中学_00928,FALSE,TRUE,1422.812916
BV10209221,莲宅(公交站),莲宅,交通设施服务;公交车站;公交车站相关,150700,129路;177路;306路;328路;335路;74路(敬老线路);K2路;东部1号线;东部2号线,福建省,福州市,鼓楼区,119.319441,26.074225,119.3146006,26.07728693,731526.9515,2886299.393,TRUE,TRUE,L0_007_004,2,1,莲宅_00929,FALSE,TRUE,4205.934339
BV10209223,五一新村(公交站),五一新村,交通设施服务;公交车站;公交车站相关,150700,315路;59路;93路,福建省,福州市,台江区,119.313636,26.069511,119.3088069,26.07258057,730956.4658,2885767.639,TRUE,TRUE,L0_007_004,1,1,五一新村_00930,FALSE,TRUE,4944.60406
BV10209224,福州体育馆(公交站),福州体育馆,交通设施服务;公交车站;公交车站相关,150700,315路;59路;93路,福建省,福州市,台江区,119.318663,26.069214,119.3138244,26.07227405,731459.1542,2885742.583,TRUE,TRUE,L0_007_004,2,1,福州体育馆_00931,FALSE,TRUE,4731.841143
BV10209231,光桥(公交站),光桥,交通设施服务;公交车站;公交车站相关,150700,205路;306路;50路,福建省,福州市,仓山区,119.325369,26.011302,119.3205219,26.01431023,732243.6125,2879332.078,TRUE,TRUE,L0_008_001;L0_008_002,1;3,2,光桥_00932,FALSE,TRUE,3022.667366
BV10209235,宁化新村(公交站),宁化新村,交通设施服务;公交车站;公交车站相关,150700,138路;19路;92路,福建省,福州市,台江区,119.29447,26.056817,119.2896747,26.05991026,729066.646,2884329.992,TRUE,TRUE,L0_006_003;L0_007_003,3;4,2,宁化新村_00933,FALSE,TRUE,5781.529929
BV10209236,迎飞小区(公交站),迎飞小区,交通设施服务;公交车站;公交车站相关,150700,156路;205路;25路(敬老线路);50路,福建省,福州市,仓山区,119.327474,26.014206,119.3226226,26.01721219,732448.2072,2879657.355,TRUE,TRUE,L0_008_002,2,1,迎飞小区_00934,FALSE,TRUE,3398.19821
BV10209247,利济桥(公交站),利济桥,交通设施服务;公交车站;公交车站相关,150700,124路;140路;155路;161路;167路;176路(敬老线路);305路,福建省,福州市,仓山区,119.380197,25.989253,119.3752672,25.99215945,737769.2137,2876976.277,TRUE,TRUE,L0_010_001,1,1,利济桥_00935,FALSE,TRUE,1290.849305
