scenario,activity_purpose,legs_5pct,expanded_legs,total_fare_hkd_5pct,expanded_total_fare_hkd,mean_hkd,median_hkd,p10_hkd,p25_hkd,p75_hkd,p90_hkd,p95_hkd,within_flagfall_share,tolled_tunnel_share,taxi_type_unresolved_share,route_distance_unavailable_share,congestion_proxy_unavailable_share
low,personal_business>shopping,294.0,5880.0,33833.200000000004,676664.0000000001,115.07891156462587,110.9,33.2,60.5,145.55,196.85999999999996,269.16999999999985,0.07142857142857142,0.0,0.02040816326530612,0.0,1.0
low,personal_business>social,108.0,2160.0,12263.900000000001,245278.00000000003,113.55462962962964,110.2,37.4,58.4,143.45,215.61999999999998,247.53999999999996,0.06481481481481481,0.0,0.027777777777777776,0.0,1.0
low,school_kindergarten,176.0,3520.0,8579.8,171596.0,48.74886363636363,35.3,25.5,29.0,58.4,89.0,105.0,0.3522727272727273,0.0,0.0,0.0,1.0
low,school_primary,362.0,7240.0,19794.699999999997,395893.99999999994,54.68149171270717,38.8,25.5,29.0,71.0,107.82000000000009,131.82999999999998,0.2983425414364641,0.0,0.022099447513812154,0.0,1.0
low,school_secondary,382.0,7640.0,37969.0,759380.0,99.39528795811518,78.94999999999999,29.0,39.5,131.9,203.16000000000005,259.15999999999997,0.13612565445026178,0.0,0.015706806282722512,0.0,1.0
low,school_special,4.0,80.0,200.0,4000.0,50.0,48.95,29.0,29.0,69.95,71.84,72.47,0.5,0.0,0.0,0.0,1.0
low,shopping,2938.0,58760.0,313348.4,6266968.0,106.65364193328796,102.5,29.3,58.4,137.1,185.52000000000024,232.7,0.09360108917631041,0.0,0.008168822328114363,0.0,1.0
low,shopping>dining,1128.0,22560.0,126265.6,2525312.0,111.93758865248228,103.9,30.560000000000006,60.5,140.3,200.9200000000001,253.7,0.0975177304964539,0.0,0.02925531914893617,0.0,1.0
low,shopping>leisure,738.0,14760.0,81044.5,1620890.0,109.81639566395664,107.2,35.3,62.6,138.9,189.7200000000001,232.35999999999999,0.07317073170731707,0.0,0.012195121951219513,0.0,1.0
low,shopping>medical,252.0,5040.0,25718.6,514372.0,102.0579365079365,100.4,33.11,58.4,129.45,170.96,200.76999999999995,0.08333333333333333,0.0,0.023809523809523808,0.0,1.0
low,shopping>personal_business,366.0,7320.0,39935.7,798714.0,109.1139344262295,103.9,31.15,58.4,144.5,186.5,233.05,0.09016393442622951,0.0,0.03278688524590164,0.0,1.0
low,shopping>shopping,300.0,6000.0,35157.7,703154.0,117.19233333333332,105.8,31.1,66.8,150.1,223.04000000000005,272.7400000000002,0.08666666666666667,0.0,0.04,0.0,1.0
low,shopping>social,516.0,10320.0,53982.899999999994,1079658.0,104.61802325581394,95.15,29.0,50.0,137.85,199.1,242.85,0.11046511627906977,0.0,0.01744186046511628,0.0,1.0
low,social,1248.0,24960.0,134897.9,2697958.0,108.09126602564102,102.5,31.2,55.9,140.3,194.9,234.1,0.08653846153846154,0.0,0.011217948717948718,0.0,1.0
low,social>dining,390.0,7800.0,43308.4,866168.0,111.04717948717949,102.5,33.2,60.5,141.35,199.1,253.06999999999994,0.08461538461538462,0.0,0.007692307692307693,0.0,1.0
low,social>leisure,279.0,5580.0,33642.2,672844.0,120.58136200716845,113.7,39.08,68.9,150.8,204.98000000000002,265.3199999999998,0.05734767025089606,0.0,0.053763440860215055,0.0,1.0
low,social>medical,150.0,3000.0,15990.8,319816.0,106.60533333333333,98.3,35.3,71.0,136.8,176.97999999999996,237.67,0.07333333333333333,0.0,0.04,0.0,1.0
low,social>personal_business,123.0,2460.0,13232.199999999999,264644.0,107.57886178861787,106.7,38.24,68.9,135.39999999999998,169.13999999999996,217.99999999999994,0.07317073170731707,0.0,0.0,0.0,1.0
low,social>shopping,465.0,9300.0,53167.7,1063354.0,114.33913978494623,105.3,33.14,64.7,145.5,201.10000000000002,260.4199999999999,0.09247311827956989,0.0,0.01935483870967742,0.0,1.0
low,social>social,66.0,1320.0,7607.099999999999,152142.0,115.2590909090909,111.6,30.05,53.675,151.5,208.2,234.1,0.10606060606060606,0.0,0.045454545454545456,0.0,1.0
low,visitor_primary_activity,2176.0,43520.0,275725.0,5514500.0,126.71185661764706,81.5,31.1,37.4,241.1,266.3,291.5,0.0822610294117647,0.0,0.42371323529411764,0.0,1.0
low,visitor_primary_activity>secondary_activity,6444.0,128880.0,558753.6,11175072.0,86.70912476722532,58.4,29.0,29.0,110.9,224.3,255.1,0.2751396648044693,0.0,0.11266294227188083,0.0,1.0
low,visitor_unknown,1.0,20.0,312.5,6250.0,312.5,312.5,312.5,312.5,312.5,312.5,312.5,0.0,0.0,0.0,0.0,1.0
low,work,3690.0,73800.0,533997.0,10679940.0,144.71463414634147,126.3,54.2,89.9,179.5,270.5,315.84999999999974,0.01924119241192412,0.0,0.061788617886178863,0.0,1.0
base,dining,2514.0,50280.0,279676.7,5593534.0,111.24769291964996,105.3,31.1,62.6,141.6,196.3,245.78999999999988,0.08711217183770883,0.0,0.00477326968973747,0.0,1.0
base,dining>dining,222.0,4440.0,24040.199999999997,480803.99999999994,108.28918918918917,93.05,33.11,52.1,138.2,203.16000000000003,246.62999999999997,0.09009009009009009,0.0,0.02702702702702703,0.0,1.0
base,dining>leisure,699.0,13980.0,80334.9,1606698.0,114.9283261802575,108.1,31.1,62.6,155.0,208.58,237.04000000000005,0.09298998569384835,0.0,0.030042918454935622,0.0,1.0
base,dining>medical,171.0,3420.0,20005.1,400102.0,116.98888888888888,106.7,33.1,63.650000000000006,151.3,203.3,253.0,0.07602339181286549,0.0,0.03508771929824561,0.0,1.0
