edge_id,from_lat_wgs84,from_lon_wgs84,from_sequence,from_station_id,from_station_name,line_id,line_name,to_lat_wgs84,to_lon_wgs84,to_sequence,to_station_id,to_station_name
350100010598_003_004,26.050132431477405,119.29311204843681,3,BV10208639,帮洲,350100010598,149路(尤溪洲(西)公交站--海峡汽车文化广场),26.049377554382996,119.30120947596454,4,BV10208748,蓬埕
350100010598_004_005,26.049377554382996,119.30120947596454,4,BV10208748,蓬埕,350100010598,149路(尤溪洲(西)公交站--海峡汽车文化广场),26.05204121353443,119.30470801462721,5,BV11668055,青年广场
350100010598_005_006,26.05204121353443,119.30470801462721,5,BV11668055,青年广场,350100010598,149路(尤溪洲(西)公交站--海峡汽车文化广场),26.05616360795842,119.31257303548449,6,BV09020981,闽江之心(台江步行街)
350100010598_006_007,26.05616360795842,119.31257303548449,6,BV09020981,闽江之心(台江步行街),350100010598,149路(尤溪洲(西)公交站--海峡汽车文化广场),26.048699322732652,119.31642920152841,7,BV10208401,桥南
350100010598_007_008,26.048699322732652,119.31642920152841,7,BV10208401,桥南,350100010598,149路(尤溪洲(西)公交站--海峡汽车文化广场),26.044775583140243,119.31700538526003,8,BV10902716,埔顶
350100010598_008_009,26.044775583140243,119.31700538526003,8,BV10902716,埔顶,350100010598,149路(尤溪洲(西)公交站--海峡汽车文化广场),26.040589615491886,119.31760554106907,9,BV10965141,龙津
350100010598_009_010,26.040589615491886,119.31760554106907,9,BV10965141,龙津,350100010598,149路(尤溪洲(西)公交站--海峡汽车文化广场),26.037263802038055,119.31790221809398,10,BV09365534,南台东升
350100010598_010_011,26.037263802038055,119.31790221809398,10,BV09365534,南台东升,350100010598,149路(尤溪洲(西)公交站--海峡汽车文化广场),26.033278428891784,119.31825683242099,11,BV10795982,南台十六府
350100010598_011_012,26.033278428891784,119.31825683242099,11,BV10795982,南台十六府,350100010598,149路(尤溪洲(西)公交站--海峡汽车文化广场),26.02905485074727,119.31863242370264,12,BV10795981,北园半洋亭
350100010598_012_013,26.02905485074727,119.31863242370264,12,BV10795981,北园半洋亭,350100010598,149路(尤溪洲(西)公交站--海峡汽车文化广场),26.020826761752506,119.31889653273011,13,BV09062504,福州环保职专跨洋校区
350100010598_013_014,26.020826761752506,119.31889653273011,13,BV09062504,福州环保职专跨洋校区,350100010598,149路(尤溪洲(西)公交站--海峡汽车文化广场),26.015202461872974,119.32228637982898,14,BV11623256,盖山跃进
350100010598_014_015,26.015202461872974,119.32228637982898,14,BV11623256,盖山跃进,350100010598,149路(尤溪洲(西)公交站--海峡汽车文化广场),26.00628016578594,119.32921067212031,15,BV11342652,半田工业区
350100010598_015_016,26.00628016578594,119.32921067212031,15,BV11342652,半田工业区,350100010598,149路(尤溪洲(西)公交站--海峡汽车文化广场),25.968200416739453,119.34265573128701,16,BV10391469,龙祥岛
350100010598_016_017,25.968200416739453,119.34265573128701,16,BV10391469,龙祥岛,350100010598,149路(尤溪洲(西)公交站--海峡汽车文化广场),25.932353513292114,119.33470984004573,17,BV11342646,五虎山隧道
350100010598_017_018,25.932353513292114,119.33470984004573,17,BV11342646,五虎山隧道,350100010598,149路(尤溪洲(西)公交站--海峡汽车文化广场),25.927081465903537,119.33604974775335,18,BV11342650,琯前
350100010598_018_019,25.927081465903537,119.33604974775335,18,BV11342650,琯前,350100010598,149路(尤溪洲(西)公交站--海峡汽车文化广场),25.921888637006013,119.34006182696498,19,BV11342647,海峡机械园
350100010598_019_020,25.921888637006013,119.34006182696498,19,BV11342647,海峡机械园,350100010598,149路(尤溪洲(西)公交站--海峡汽车文化广场),25.919253069770132,119.34446430068017,20,BV11342651,钢材物流园
350100010598_020_021,25.919253069770132,119.34446430068017,20,BV11342651,钢材物流园,350100010598,149路(尤溪洲(西)公交站--海峡汽车文化广场),25.917448882078517,119.35039365040626,21,BV11342648,祥谦洋下
350100010598_021_022,25.917448882078517,119.35039365040626,21,BV11342648,祥谦洋下,350100010598,149路(尤溪洲(西)公交站--海峡汽车文化广场),25.91563349178353,119.35561088640698,22,BV11342649,林森公园
350100010598_022_023,25.91563349178353,119.35561088640698,22,BV11342649,林森公园,350100010598,149路(尤溪洲(西)公交站--海峡汽车文化广场),25.919125582062915,119.36138778787914,23,BV09079784,林森故里站
350100010598_023_024,25.919125582062915,119.36138778787914,23,BV09079784,林森故里站,350100010598,149路(尤溪洲(西)公交站--海峡汽车文化广场),25.919774544495052,119.36403550685246,24,BV10209633,凤港村
350100010598_024_025,25.919774544495052,119.36403550685246,24,BV10209633,凤港村,350100010598,149路(尤溪洲(西)公交站--海峡汽车文化广场),25.918946214148615,119.36627402679335,25,BV10209632,海峡汽车文化广场
350100010599_001_002,25.919020321786537,119.36622607377068,1,BV10209632,海峡汽车文化广场,350100010599,149路(海峡汽车文化广场--尤溪洲(西)公交站),25.919580329449467,119.36180323073128,2,BV09079784,林森故里站
350100010599_002_003,25.919580329449467,119.36180323073128,2,BV09079784,林森故里站,350100010599,149路(海峡汽车文化广场--尤溪洲(西)公交站),25.915233429024727,119.3568151997648,3,BV11342649,林森公园
350100010599_003_004,25.915233429024727,119.3568151997648,3,BV11342649,林森公园,350100010599,149路(海峡汽车文化广场--尤溪洲(西)公交站),25.9174401131835,119.35086490814818,4,BV11342648,祥谦洋下
350100010599_004_005,25.9174401131835,119.35086490814818,4,BV11342648,祥谦洋下,350100010599,149路(海峡汽车文化广场--尤溪洲(西)公交站),25.919326795634714,119.34465097549452,5,BV11342651,钢材物流园
350100010599_005_006,25.919326795634714,119.34465097549452,5,BV11342651,钢材物流园,350100010599,149路(海峡汽车文化广场--尤溪洲(西)公交站),25.921166936237864,119.3407376734963,6,BV11342647,海峡机械园
350100010599_006_007,25.921166936237864,119.3407376734963,6,BV11342647,海峡机械园,350100010599,149路(海峡汽车文化广场--尤溪洲(西)公交站),25.926985953304275,119.33629230654226,7,BV11342650,琯前
350100010599_007_008,25.926985953304275,119.33629230654226,7,BV11342650,琯前,350100010599,149路(海峡汽车文化广场--尤溪洲(西)公交站),25.93360036430659,119.33632374924879,8,BV11342646,五虎山隧道
350100010599_008_009,25.93360036430659,119.33632374924879,8,BV11342646,五虎山隧道,350100010599,149路(海峡汽车文化广场--尤溪洲(西)公交站),25.969389672950246,119.34297009235421,9,BV10391469,龙祥岛
350100010599_009_010,25.969389672950246,119.34297009235421,9,BV10391469,龙祥岛,350100010599,149路(海峡汽车文化广场--尤溪洲(西)公交站),26.008076553692025,119.32807272172114,10,BV11342652,半田工业区
350100010599_010_011,26.008076553692025,119.32807272172114,10,BV11342652,半田工业区,350100010599,149路(海峡汽车文化广场--尤溪洲(西)公交站),26.01372178053373,119.32368377983896,11,BV11623256,盖山跃进
350100010599_011_012,26.01372178053373,119.32368377983896,11,BV11623256,盖山跃进,350100010599,149路(海峡汽车文化广场--尤溪洲(西)公交站),26.017466544499843,119.32095679000528,12,BV09062503,迎飞花园西门
350100010599_012_013,26.017466544499843,119.32095679000528,12,BV09062503,迎飞花园西门,350100010599,149路(海峡汽车文化广场--尤溪洲(西)公交站),26.019847620873556,119.31967010694245,13,BV09062504,福州环保职专跨洋校区
