"YR_MTH","MODE","TTD_PTO_CODE","RAIL_LINE","AVG_DAILY_PAX","AVG_DAILY_PAX_INDI"
"201505","Ferries","LFS","",37.0805483870968,""
"201505","TAX","TAX","",951.991844387097,""
"201505","RS","RS","",233.547516129032,""
"201505","LRB","LRB","",136.720161290323,""
"201505","Fran_Bus","KMB","",2585.9494516129,""
"201505","Fran_Bus","CTB","",603.457064516129,""
"201505","Fran_Bus","NWFB","",449.182225806452,""
"201505","Fran_Bus","LWB","",97.494935483871,""
"201505","Fran_Bus","NLB","",68.693064516129,""
"201505","Railways","MTRC","Local",4465.6344516129,""
"201505","Railways","MTRC","Airport",39.3041935483871,""
"201505","Railways","MTRC","LRT",480.053580645161,""
"201505","Railways","HKT","",165.977483870968,""
"201506","PLB","GMB","",1553.59946666667,""
"201506","PLB","RMB","",336.9731,""
"201506","Ferries","NWFF","",37.8357333333333,""
"201506","Ferries","STF","",48.5060333333333,""
"201506","Ferries","LFS","",36.7634666666667,""
"201506","TAX","TAX","",989.981630333333,""
"201506","RS","RS","",243.494666666667,""
"201506","LRB","LRB","",138.8334,""
"201506","Fran_Bus","KMB","",2647.7154,""
"201506","Fran_Bus","CTB","",623.637633333333,""
"201506","Fran_Bus","NWFB","",459.6413,""
"201506","Fran_Bus","LWB","",101.938,""
"201506","Fran_Bus","NLB","",65.5402,""
"201506","Railways","MTRC","Local",4581.6881,""
"201506","Railways","MTRC","Airport",42.7111666666667,""
"201506","Railways","MTRC","LRT",491.016,""
"201506","Railways","HKT","",168.819333333333,""
"201507","PLB","GMB","",1522.74970967742,""
"201507","PLB","RMB","",335.105096774194,""
"201507","Ferries","NWFF","",39.0228064516129,""
"201507","Ferries","STF","",57.4322580645161,""
"201507","Ferries","LFS","",33.2136129032258,""
"201507","TAX","TAX","",966.513261612903,""
"201507","RS","RS","",231.649451612903,""
"201507","LRB","LRB","",133.718903225806,""
"201507","Fran_Bus","KMB","",2605.413,""
"201507","Fran_Bus","CTB","",613.11635483871,""
"201507","Fran_Bus","NWFB","",449.976193548387,""
"201507","Fran_Bus","LWB","",103.282838709677,""
"201507","Fran_Bus","NLB","",66.6187419354839,""
"201507","Railways","MTRC","Local",4607.78496774194,""
"201507","Railways","MTRC","Airport",42.2246774193548,""
"201507","Railways","MTRC","LRT",480.342516129032,""
"201507","Railways","HKT","",164.321096774194,""
"201508","PLB","GMB","",1534.00106451613,""
"201508","PLB","RMB","",331.658870967742,""
"201508","Railways","HKT","",169.864225806452,""
"201508","Railways","MTRC","LRT",473.171741935484,""
"201508","Railways","MTRC","Airport",43.083,""
"201508","Railways","MTRC","Local",4650.17212903226,""
"201508","Fran_Bus","NLB","",67.8128387096774,""
"201508","Fran_Bus","LWB","",104.949806451613,""
"201508","Fran_Bus","NWFB","",457.607741935484,""
"201508","Fran_Bus","CTB","",634.832096774194,""
"201508","Fran_Bus","KMB","",2628.77558064516,""
"201508","LRB","LRB","",131.222096774194,""
"201508","RS","RS","",239.64964516129,""
"201508","TAX","TAX","",983.464198225807,""
"201508","Ferries","LFS","",37.0664516129032,""
"201508","Ferries","STF","",60.0626774193548,""
"201508","Ferries","NWFF","",43.487,""
"201509","Fran_Bus","KMB","",2725.70726666667,""
"201509","Railways","HKT","",179.901066666667,""
"201509","LRB","LRB","",143.416166666667,""
"201509","RS","RS","",242.769033333333,""
"201509","TAX","TAX","",977.902841166667,""
"201509","Ferries","LFS","",38.6308333333333,""
"201509","Ferries","STF","",48.7549666666667,""
"201509","Ferries","NWFF","",39.6804666666667,""
"201509","PLB","RMB","",322.8741,""
"201509","PLB","GMB","",1581.6143,""
"201509","Railways","MTRC","Airport",44.1400666666667,""
"201509","Railways","MTRC","Local",4684.93053333333,""
"201509","Fran_Bus","NLB","",71.4591,""
"201509","Fran_Bus","LWB","",100.909066666667,""
"201509","Fran_Bus","NWFB","",471.2366,""
"201509","Fran_Bus","CTB","",633.8753,""
"201509","Railways","MTRC","LRT",508.002633333333,""
"201510","Ferries","STF","",55.2669032258064,""
"201510","Ferries","LFS","",39.6534193548387,""
"201510","Railways","HKT","",182.596193548387,""
