matsim_line_id,matsim_route_id,official_route_id,official_route_sequence,official_operator,official_operator_components_json,joint_operation,service_scope,operator_scope_status,route_franchise_scope_status,route_identifier_status,json_pattern_candidate_count,known_unmatched_route,scope_evidence,unresolved_reason
line_bus_1000090,bus_1000090_1,1000090,1,CTB,"[""CTB""]",False,confirmed_franchised_route,confirmed_franchised_operator,confirmed_franchised_route,exact_official_route_id,1,False,exact_bus_JSON_pattern_and_exact_CSDI_company_route_sequence_key,
line_bus_1000091,bus_1000091_1,1000091,1,CTB,"[""CTB""]",False,confirmed_franchised_route,confirmed_franchised_operator,confirmed_franchised_route,exact_official_route_id,1,False,exact_bus_JSON_pattern_and_exact_CSDI_company_route_sequence_key,
line_bus_1000091,bus_1000091_2,1000091,2,CTB,"[""CTB""]",False,confirmed_franchised_route,confirmed_franchised_operator,confirmed_franchised_route,exact_official_route_id,1,False,exact_bus_JSON_pattern_and_exact_CSDI_company_route_sequence_key,
line_bus_1000093,bus_1000093_1,1000093,1,CTB,"[""CTB""]",False,confirmed_franchised_route,confirmed_franchised_operator,confirmed_franchised_route,exact_official_route_id,1,False,exact_bus_JSON_pattern_and_exact_CSDI_company_route_sequence_key,
line_bus_1000093,bus_1000093_2,1000093,2,CTB,"[""CTB""]",False,confirmed_franchised_route,confirmed_franchised_operator,confirmed_franchised_route,exact_official_route_id,1,False,exact_bus_JSON_pattern_and_exact_CSDI_company_route_sequence_key,
line_bus_1000094,bus_1000094_1,1000094,1,CTB,"[""CTB""]",False,confirmed_franchised_route,confirmed_franchised_operator,confirmed_franchised_route,exact_official_route_id,1,False,exact_bus_JSON_pattern_and_exact_CSDI_company_route_sequence_key,
line_bus_1000095,bus_1000095_1,1000095,1,KMB,"[""KMB""]",False,confirmed_franchised_route,confirmed_franchised_operator,confirmed_franchised_route,exact_official_route_id,1,False,exact_bus_JSON_pattern_and_exact_CSDI_company_route_sequence_key,
line_bus_1000096,bus_1000096_1,1000096,1,KMB,"[""KMB""]",False,confirmed_franchised_route,confirmed_franchised_operator,confirmed_franchised_route,exact_official_route_id,1,False,exact_bus_JSON_pattern_and_exact_CSDI_company_route_sequence_key,
line_bus_1000097,bus_1000097_1,1000097,1,KMB,"[""KMB""]",False,confirmed_franchised_route,confirmed_franchised_operator,confirmed_franchised_route,exact_official_route_id,1,False,exact_bus_JSON_pattern_and_exact_CSDI_company_route_sequence_key,
line_bus_1000099,bus_1000099_1,1000099,1,KMB,"[""KMB""]",False,confirmed_franchised_route,confirmed_franchised_operator,confirmed_franchised_route,exact_official_route_id,1,False,exact_bus_JSON_pattern_and_exact_CSDI_company_route_sequence_key,
line_bus_1000100,bus_1000100_1,1000100,1,KMB,"[""KMB""]",False,confirmed_franchised_route,confirmed_franchised_operator,confirmed_franchised_route,exact_official_route_id,1,False,exact_bus_JSON_pattern_and_exact_CSDI_company_route_sequence_key,
line_bus_1000102,bus_1000102_1,1000102,1,KMB,"[""KMB""]",False,confirmed_franchised_route,confirmed_franchised_operator,confirmed_franchised_route,exact_official_route_id,1,False,exact_bus_JSON_pattern_and_exact_CSDI_company_route_sequence_key,
line_bus_1000103,bus_1000103_1,1000103,1,KMB,"[""KMB""]",False,confirmed_franchised_route,confirmed_franchised_operator,confirmed_franchised_route,exact_official_route_id,1,False,exact_bus_JSON_pattern_and_exact_CSDI_company_route_sequence_key,
line_bus_1000104,bus_1000104_1,1000104,1,KMB,"[""KMB""]",False,confirmed_franchised_route,confirmed_franchised_operator,confirmed_franchised_route,exact_official_route_id,1,False,exact_bus_JSON_pattern_and_exact_CSDI_company_route_sequence_key,
line_bus_1000105,bus_1000105_1,1000105,1,KMB,"[""KMB""]",False,confirmed_franchised_route,confirmed_franchised_operator,confirmed_franchised_route,exact_official_route_id,1,False,exact_bus_JSON_pattern_and_exact_CSDI_company_route_sequence_key,
line_bus_1000106,bus_1000106_1,1000106,1,KMB,"[""KMB""]",False,confirmed_franchised_route,confirmed_franchised_operator,confirmed_franchised_route,exact_official_route_id,1,False,exact_bus_JSON_pattern_and_exact_CSDI_company_route_sequence_key,
line_bus_1000116,bus_1000116_1,1000116,1,KMB,"[""KMB""]",False,confirmed_franchised_route,confirmed_franchised_operator,confirmed_franchised_route,exact_official_route_id,1,False,exact_bus_JSON_pattern_and_exact_CSDI_company_route_sequence_key,
line_bus_1000117,bus_1000117_1,1000117,1,KMB,"[""KMB""]",False,confirmed_franchised_route,confirmed_franchised_operator,confirmed_franchised_route,exact_official_route_id,1,False,exact_bus_JSON_pattern_and_exact_CSDI_company_route_sequence_key,
line_bus_1000124,bus_1000124_1,1000124,1,KMB+CTB,"[""KMB"",""CTB""]",True,confirmed_franchised_route,confirmed_franchised_operator,confirmed_franchised_route,exact_official_route_id,1,False,exact_bus_JSON_pattern_and_exact_CSDI_company_route_sequence_key,
line_bus_1000132,bus_1000132_1,1000132,1,KMB+CTB,"[""KMB"",""CTB""]",True,confirmed_franchised_route,confirmed_franchised_operator,confirmed_franchised_route,exact_official_route_id,1,False,exact_bus_JSON_pattern_and_exact_CSDI_company_route_sequence_key,
line_bus_1000142,bus_1000142_1,1000142,1,KMB,"[""KMB""]",False,confirmed_franchised_route,confirmed_franchised_operator,confirmed_franchised_route,exact_official_route_id,1,False,exact_bus_JSON_pattern_and_exact_CSDI_company_route_sequence_key,
line_bus_1000149,bus_1000149_1,1000149,1,KMB,"[""KMB""]",False,confirmed_franchised_route,confirmed_franchised_operator,confirmed_franchised_route,exact_official_route_id,1,False,exact_bus_JSON_pattern_and_exact_CSDI_company_route_sequence_key,
