mode,stop_id,source_ids,name,lon_gcj02,lat_gcj02,lon_wgs84,lat_wgs84,x_epsg32650,y_epsg32650,line_ids,coord_source
bus,amap_stop_01800,BV09414435,新峰,119.190001,26.080444,119.1851688668728,26.08352865436721,718564.4467220367,2886767.273766331,350100010061;350100010062;900000187253;900000187256,AMap GCJ-02 converted to WGS84/EPSG:32650 in source final dataset
bus,amap_stop_01801,BV09414438,红峰,119.188389,26.078649,119.18355379941588,26.08172960154372,718406.1979907487,2886565.238380485,350100010061;350100010062;900000187253;900000187256,AMap GCJ-02 converted to WGS84/EPSG:32650 in source final dataset
bus,amap_stop_01802,BV09167036,沙墩站,119.183866,26.077998,119.17902169277497,26.081069976444432,717953.9692553156,2886484.562081547,350100010061;350100010062;350100010213;350100010217;350100010437;350100010438;350100010628;350100010629;900000061052;900000061053;900000204650;900000204651,AMap GCJ-02 converted to WGS84/EPSG:32650 in source final dataset
bus,amap_stop_01803,BV11608609,沙堤桥头,119.179473,26.081921,119.17461932089064,26.08498744159522,717506.2502222015,2886911.233730701,350100010061;350100010062;350100010628;350100010629;900000061052;900000061053,AMap GCJ-02 converted to WGS84/EPSG:32650 in source final dataset
bus,amap_stop_01804,BV11684635,沙堤村口,119.176681,26.084353,119.1718213075727,26.08741581664104,717221.8223548253,2887175.6123683075,350100010061;350100010062;350100010628;350100010629,AMap GCJ-02 converted to WGS84/EPSG:32650 in source final dataset
bus,amap_stop_01805,BV11188803,地铁沙堤站,119.173935,26.085878,119.16906943356774,26.088936647038107,716943.6968818874,2887339.522823167,350100010061;350100010062;350100010628;350100010629;900000061052;900000061053,AMap GCJ-02 converted to WGS84/EPSG:32650 in source final dataset
bus,amap_stop_01806,BV10421384,云龙礼堂,119.638691,26.077121,119.63422631924522,26.08041216290757,763504.8351060062,2887253.3128647828,350100010063;350100010064,AMap GCJ-02 converted to WGS84/EPSG:32650 in source final dataset
bus,amap_stop_01807,BV10209509,陈厝,119.630078,26.074497,119.6256213376278,26.07779819454009,762649.5352886377,2886946.2516695773,350100010063;350100010064,AMap GCJ-02 converted to WGS84/EPSG:32650 in source final dataset
bus,amap_stop_01808,BV10209508,陈厝,119.267074,25.958138,119.26231593854268,25.96119417895257,726518.1919258051,2873344.7063464127,350100010358;350100010359;900000049348;900000049349;900000175766;900000175767,AMap GCJ-02 converted to WGS84/EPSG:32650 in source final dataset
bus,amap_stop_01809,BV10209919,后官,119.626961,26.07052,119.62250688454309,26.073822267211018,762346.7225941579,2886499.3737119813,350100010063;350100010064,AMap GCJ-02 converted to WGS84/EPSG:32650 in source final dataset
